canonical_smi,scaffold,scaffold_group,in_train,in_test
COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccc3c(c1)OCO3)c(C)n2C(=O)c1ccc(Cl)cc1,O=C(COC(=O)Cc1cn(C(=O)c2ccccc2)c2ccccc12)Nc1ccc2c(c1)OCO2,O=C(COC(=O)Cc1cn(C(=O)c2ccccc2)c2ccccc12)Nc1ccc2c(c1)OCO2,True,False
COC(=O)c1sccc1NC(=O)COC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,O=C(COC(=O)Cc1cn(C(=O)c2ccccc2)c2ccccc12)Nc1ccsc1,O=C(COC(=O)Cc1cn(C(=O)c2ccccc2)c2ccccc12)Nc1ccsc1,True,False
COc1ccc2c(c1)c(CC(=O)OCC(=O)NCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,O=C(COC(=O)Cc1cn(C(=O)c2ccccc2)c2ccccc12)NCc1ccccc1,O=C(COC(=O)Cc1cn(C(=O)c2ccccc2)c2ccccc12)NCc1ccccc1,True,False
COc1ccc2c(c1)c(CC(=O)OCC(=O)N1CCSCC1)c(C)n2C(=O)c1ccc(Cl)cc1,O=C(Cc1cn(C(=O)c2ccccc2)c2ccccc12)OCC(=O)N1CCSCC1,O=C(Cc1cn(C(=O)c2ccccc2)c2ccccc12)OCC(=O)N1CCSCC1,True,False
C(=Cc1ccc2ccccc2n1)c1ccccc1,C(=Cc1ccc2ccccc2n1)c1ccccc1,C(=Cc1ccc2ccccc2n1)c1ccccc1,True,False
Cc1ccc2ccc(C(=O)NCc3ccccc3)c(O)c2n1,O=C(NCc1ccccc1)c1ccc2cccnc2c1,O=C(NCc1ccccc1)c1ccc2cccnc2c1,True,False
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,c1ccccc1,c1ccccc1,False,True
COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc(O)c(OC)c2)ccc1O,c1ccc(CCCCc2ccccc2)cc1,c1ccc(CCCCc2ccccc2)cc1,False,True
COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,c1ccc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccccc2)cc1,c1ccc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccccc2)cc1,True,False
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,True,False
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,C1=CCCCC1,C1=CCCCC1,False,True
CC(C)=CCCC(C)=CC=O,,acyclic_23,True,False
[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2cc(O)c(=O)[nH]c2=O)[C@@H]1O,O=c1ccn(C2CCCO2)c(=O)[nH]1,O=c1ccn(C2CCCO2)c(=O)[nH]1,True,False
[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2cc(Cl)c(=O)[nH]c2=O)[C@@H]1O,O=c1ccn(C2CCCO2)c(=O)[nH]1,O=c1ccn(C2CCCO2)c(=O)[nH]1,True,False
[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2cc(Br)c(=O)[nH]c2=O)[C@@H]1O,O=c1ccn(C2CCCO2)c(=O)[nH]1,O=c1ccn(C2CCCO2)c(=O)[nH]1,True,False
[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2cc(I)c(=O)[nH]c2=O)[C@@H]1O,O=c1ccn(C2CCCO2)c(=O)[nH]1,O=c1ccn(C2CCCO2)c(=O)[nH]1,True,False
[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2ncc(=O)[nH]c2=O)[C@@H]1O,O=c1cnn(C2CCCO2)c(=O)[nH]1,O=c1cnn(C2CCCO2)c(=O)[nH]1,True,False
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1O,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,True,False
O=c1cnn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,O=c1cnn([C@H]2CCCO2)c(=O)[nH]1,O=c1cnn([C@H]2CCCO2)c(=O)[nH]1,True,False
O=[N+]([O-])c1cccc(B(O)O)c1,c1ccccc1,c1ccccc1,False,True
Cc1cc2c(n1-c1ccccc1)CCc1cc(S(=O)(=O)c3ccccc3)c(=O)[nH]c1-2,O=c1[nH]c2c(cc1S(=O)(=O)c1ccccc1)CCc1c-2ccn1-c1ccccc1,O=c1[nH]c2c(cc1S(=O)(=O)c1ccccc1)CCc1c-2ccn1-c1ccccc1,True,False
Cc1cc2c(n1-c1ccccc1)CCc1cc(C(=O)c3ccccc3)c(=O)[nH]c1-2,O=C(c1ccccc1)c1cc2c([nH]c1=O)-c1ccn(-c3ccccc3)c1CC2,O=C(c1ccccc1)c1cc2c([nH]c1=O)-c1ccn(-c3ccccc3)c1CC2,True,False
Cc1cc2c(n1-c1ccccc1)CCc1cc(C#N)c(=O)[nH]c1-2,O=c1ccc2c([nH]1)-c1ccn(-c3ccccc3)c1CC2,O=c1ccc2c([nH]1)-c1ccn(-c3ccccc3)c1CC2,False,True
CCOC(=O)c1cc2c([nH]c1=O)-c1cc(C)n(-c3ccccc3)c1CC2,O=c1ccc2c([nH]1)-c1ccn(-c3ccccc3)c1CC2,O=c1ccc2c([nH]1)-c1ccn(-c3ccccc3)c1CC2,False,True
Cc1cc2c(n1C)CCc1cc(S(=O)(=O)c3ccccc3)c(=O)[nH]c1-2,O=c1[nH]c2c(cc1S(=O)(=O)c1ccccc1)CCc1[nH]ccc1-2,O=c1[nH]c2c(cc1S(=O)(=O)c1ccccc1)CCc1[nH]ccc1-2,False,True
Cc1cc2c(n1C)CCc1cc(C(=O)c3ccccc3)c(=O)[nH]c1-2,O=C(c1ccccc1)c1cc2c([nH]c1=O)-c1cc[nH]c1CC2,O=C(c1ccccc1)c1cc2c([nH]c1=O)-c1cc[nH]c1CC2,True,False
Cc1cc2c(n1Cc1ccccc1)CCc1cc(S(=O)(=O)c3ccccc3)c(=O)[nH]c1-2,O=c1[nH]c2c(cc1S(=O)(=O)c1ccccc1)CCc1c-2ccn1Cc1ccccc1,O=c1[nH]c2c(cc1S(=O)(=O)c1ccccc1)CCc1c-2ccn1Cc1ccccc1,True,False
O=C(c1ccccc1)c1cc2c([nH]c1=O)-c1ccn(Cc3ccccc3)c1CC2,O=C(c1ccccc1)c1cc2c([nH]c1=O)-c1ccn(Cc3ccccc3)c1CC2,O=C(c1ccccc1)c1cc2c([nH]c1=O)-c1ccn(Cc3ccccc3)c1CC2,True,False
Cc1cc2c(ccc3c(C)cc(=O)[nH]c32)[nH]1,O=c1ccc2ccc3[nH]ccc3c2[nH]1,O=c1ccc2ccc3[nH]ccc3c2[nH]1,False,True
Cc1cnc(O[Si](C)(C)C)nc1O[Si](C)(C)C,c1cncnc1,c1cncnc1,False,True
O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccc(N=C=S)cc21,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,False,True
CCc1cc(=O)c2cc(O)ccc2o1,O=c1ccoc2ccccc12,O=c1ccoc2ccccc12,False,True
CCCc1cc(=O)c2cc(O)ccc2o1,O=c1ccoc2ccccc12,O=c1ccoc2ccccc12,False,True
CC(C)c1cc(=O)c2cc(O)ccc2o1,O=c1ccoc2ccccc12,O=c1ccoc2ccccc12,False,True
CC(C)Cc1cc(=O)c2cc(O)ccc2o1,O=c1ccoc2ccccc12,O=c1ccoc2ccccc12,False,True
CC(C)(C)c1cc(=O)c2cc(O)ccc2o1,O=c1ccoc2ccccc12,O=c1ccoc2ccccc12,False,True
Cc1cc(=O)c2cc(O)ccc2o1,O=c1ccoc2ccccc12,O=c1ccoc2ccccc12,False,True
CCCc1cc(=O)c2ccc(O)cc2o1,O=c1ccoc2ccccc12,O=c1ccoc2ccccc12,False,True
CC(C)c1cc(=O)c2ccc(O)cc2o1,O=c1ccoc2ccccc12,O=c1ccoc2ccccc12,False,True
CC(C)Cc1cc(=O)c2ccc(O)cc2o1,O=c1ccoc2ccccc12,O=c1ccoc2ccccc12,False,True
CC(C)(C)c1cc(=O)c2ccc(O)cc2o1,O=c1ccoc2ccccc12,O=c1ccoc2ccccc12,False,True
Cc1cc(=O)c2ccc(O)cc2o1,O=c1ccoc2ccccc12,O=c1ccoc2ccccc12,False,True
CC(C)(C)c1cc(=O)c2cc3c(cc2o1)OCO3,O=c1ccoc2cc3c(cc12)OCO3,O=c1ccoc2cc3c(cc12)OCO3,True,False
CC(C)Cc1cc(=O)c2cc3c(cc2o1)OCO3,O=c1ccoc2cc3c(cc12)OCO3,O=c1ccoc2cc3c(cc12)OCO3,True,False
O=C(NCCOCCOCCNC(=O)c1cc2cc(Cl)ccc2[nH]1)c1cc2cc(Cl)ccc2[nH]1,O=C(NCCOCCOCCNC(=O)c1cc2ccccc2[nH]1)c1cc2ccccc2[nH]1,O=C(NCCOCCOCCNC(=O)c1cc2ccccc2[nH]1)c1cc2ccccc2[nH]1,True,False
Cc1c2[nH]c(c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)C2,c1cc2[nH]c1Cc1ccc([nH]1)Cc1ccc([nH]1)Cc1ccc([nH]1)C2,c1cc2[nH]c1Cc1ccc([nH]1)Cc1ccc([nH]1)Cc1ccc([nH]1)C2,True,False
C[C@@H](Cl)CCl,,acyclic_58,True,False
CCOc1nc(-c2ccc(Cl)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,c1ccc(-c2cc(-c3ccc(N4CCOCC4)cc3)ccn2)cc1,c1ccc(-c2cc(-c3ccc(N4CCOCC4)cc3)ccn2)cc1,True,False
N#Cc1ccc(-c2ccc(F)cc2)nc1,c1ccc(-c2ccccn2)cc1,c1ccc(-c2ccccn2)cc1,True,False
CCOc1nc(-c2ccc(F)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,c1ccc(-c2cc(-c3ccc(N4CCOCC4)cc3)ccn2)cc1,c1ccc(-c2cc(-c3ccc(N4CCOCC4)cc3)ccn2)cc1,True,False
CCOc1nc(-c2ccc(C)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,c1ccc(-c2cc(-c3ccc(N4CCOCC4)cc3)ccn2)cc1,c1ccc(-c2cc(-c3ccc(N4CCOCC4)cc3)ccn2)cc1,True,False
CCOc1nc(-c2ccc(OC)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,c1ccc(-c2cc(-c3ccc(N4CCOCC4)cc3)ccn2)cc1,c1ccc(-c2cc(-c3ccc(N4CCOCC4)cc3)ccn2)cc1,True,False
CCOc1nc(-c2cccs2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,c1csc(-c2cc(-c3ccc(N4CCOCC4)cc3)ccn2)c1,c1csc(-c2cc(-c3ccc(N4CCOCC4)cc3)ccn2)c1,True,False
CCOc1nc(-c2ccco2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,c1coc(-c2cc(-c3ccc(N4CCOCC4)cc3)ccn2)c1,c1coc(-c2cc(-c3ccc(N4CCOCC4)cc3)ccn2)c1,True,False
CCOc1nc2c(c(-c3ccc(N4CCOCC4)cc3)c1C#N)Cc1ccccc1-2,c1ccc2c(c1)Cc1c(-c3ccc(N4CCOCC4)cc3)ccnc1-2,c1ccc2c(c1)Cc1c(-c3ccc(N4CCOCC4)cc3)ccnc1-2,True,False
CCOc1nc2c(c(-c3ccc(N4CCOCC4)cc3)c1C#N)CSc1ccccc1-2,c1ccc2c(c1)SCc1c(-c3ccc(N4CCOCC4)cc3)ccnc1-2,c1ccc2c(c1)SCc1c(-c3ccc(N4CCOCC4)cc3)ccnc1-2,False,True
O=c1cc(CO)c2cc(Br)c(O)cc2o1,O=c1ccc2ccccc2o1,O=c1ccc2ccccc2o1,False,True
OCCNCCNc1ccc(NCCNCCO)c2c(O)c3c(O)ccc(O)c3c(O)c12,c1ccc2cc3ccccc3cc2c1,c1ccc2cc3ccccc3cc2c1,False,True
O=C(Cl)OC(Cl)(Cl)Cl,,acyclic_70,True,False
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,O=c1ccn(C2CCCO2)c(=O)[nH]1,O=c1ccn(C2CCCO2)c(=O)[nH]1,True,False
c1ccc(N2CCNCC2)cc1,c1ccc(N2CCNCC2)cc1,c1ccc(N2CCNCC2)cc1,True,False
CC(Cc1ccc2c(c1)OCO2)S(C)=O,c1ccc2c(c1)OCO2,c1ccc2c(c1)OCO2,True,False
O=C(O)CI,,acyclic_74,True,False
COc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1I,c1ccc(-c2nc3ccc(-c4nc5ccc(N6CCNCC6)cc5[nH]4)cc3[nH]2)cc1,c1ccc(-c2nc3ccc(-c4nc5ccc(N6CCNCC6)cc5[nH]4)cc3[nH]2)cc1,True,False
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(NC1CCNCC1)c1cc2ccccc2n1Cc1cc(-c2cccs2)on1,O=C(NC1CCNCC1)c1cc2ccccc2n1Cc1cc(-c2cccs2)on1,False,True
Cc1cccc2c(C#N)c(C(=O)NC3CCN(C(C)C)CC3)n(Cc3cc(-c4ccc(Cl)s4)on3)c12,O=C(NC1CCNCC1)c1cc2ccccc2n1Cc1cc(-c2cccs2)on1,O=C(NC1CCNCC1)c1cc2ccccc2n1Cc1cc(-c2cccs2)on1,False,True
CC(C)CC(=O)O,,acyclic_78,False,True
COc1cc(C(=O)OCCN2CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)cc(OC)c1OC,O=C(OCCN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1)c1ccccc1,O=C(OCCN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1)c1ccccc1,True,False
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,O=C1C=C([C@@H]2CCC3C2CC[C@@H]2C4CC[C@H](O[C@H]5CC[C@H](O[C@H]6CC[C@H](O[C@H]7CCCCO7)CO6)CO5)C[C@H]4CC[C@@H]32)CO1,O=C1C=C([C@@H]2CCC3C2CC[C@@H]2C4CC[C@H](O[C@H]5CC[C@H](O[C@H]6CC[C@H](O[C@H]7CCCCO7)CO6)CO5)C[C@H]4CC[C@@H]32)CO1,True,False
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,O=C1C=C([C@H]2CCC3C2CC[C@@H]2C4CCCC[C@H]4CC[C@@H]32)CO1,O=C1C=C([C@H]2CCC3C2CC[C@@H]2C4CCCC[C@H]4CC[C@@H]32)CO1,True,False
C=C1CC[C@H](O)CC1=CC=C1CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,C=C1CCCCC1=CC=C1CCCC2CCC[C@@H]12,C=C1CCCCC1=CC=C1CCCC2CCC[C@@H]12,True,False
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,c1ccccc1,c1ccccc1,False,True
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C1=C2CCCCC2[C@H]2CCC3CCC[C@H]3[C@@H]2C1,C1=C2CCCCC2[C@H]2CCC3CCC[C@H]3[C@@H]2C1,True,False
c1ccc(-c2cc3ccccc3[nH]2)c(-c2cc3ccccc3[nH]2)c1,c1ccc(-c2cc3ccccc3[nH]2)c(-c2cc3ccccc3[nH]2)c1,c1ccc(-c2cc3ccccc3[nH]2)c(-c2cc3ccccc3[nH]2)c1,False,True
CCN(CC)c1ccc(C=C(C#N)C#N)c(OCOc2cc(N(CC)CC)ccc2C=C2C([N+](=O)[O-])c3ccccc3C2[N+](=O)[O-])c1,C(=C1Cc2ccccc2C1)c1ccccc1OCOc1ccccc1,C(=C1Cc2ccccc2C1)c1ccccc1OCOc1ccccc1,True,False
NCC[C@H](CC(=O)O)[C@@H](CN)CCC(=O)O,,acyclic_87,True,False
Cc1cccc(CNC(=O)c2cc(C(=O)NCc3cccc(C)c3)ncn2)c1,O=C(NCc1ccccc1)c1cc(C(=O)NCc2ccccc2)ncn1,O=C(NCc1ccccc1)c1cc(C(=O)NCc2ccccc2)ncn1,False,True
Cc1cc(CNC(=O)c2cc(C(=O)NCc3ccc(F)c(C)c3)ncn2)ccc1F,O=C(NCc1ccccc1)c1cc(C(=O)NCc2ccccc2)ncn1,O=C(NCc1ccccc1)c1cc(C(=O)NCc2ccccc2)ncn1,False,True
N=C(N)c1ccc(OCOc2ccc(C(=N)N)cc2)cc1,c1ccc(OCOc2ccccc2)cc1,c1ccc(OCOc2ccccc2)cc1,True,False
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,False,True
c1csc(-c2ccsc2-c2cccs2)c1,c1csc(-c2ccsc2-c2cccs2)c1,c1csc(-c2ccsc2-c2cccs2)c1,True,False
C1=CCSC=C1,C1=CCSC=C1,C1=CCSC=C1,True,False
c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,True,False
SCc1cccnc1,c1ccncc1,c1ccncc1,False,True
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,True,False
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1.[Cl-].[H+],c1ccccc1,c1ccccc1,False,True
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O.O.O.[Cl-].[H+],O=C1c2c([nH]c3ccccc23)CCC1Cn1ccnc1,O=C1c2c([nH]c3ccccc23)CCC1Cn1ccnc1,True,False
CCN(CC)c1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)c(C)c1,c1ccc(N=Nc2ccccc2)cc1,c1ccc(N=Nc2ccccc2)cc1,False,True
C(=Cc1ccc(C=Cc2ccccc2)c(-c2cc(C=Cc3ccccc3)ccc2C=Cc2ccccc2)c1)c1ccccc1,C(=Cc1ccc(C=Cc2ccccc2)c(-c2cc(C=Cc3ccccc3)ccc2C=Cc2ccccc2)c1)c1ccccc1,C(=Cc1ccc(C=Cc2ccccc2)c(-c2cc(C=Cc3ccccc3)ccc2C=Cc2ccccc2)c1)c1ccccc1,True,False
Oc1ccccc1-c1nc2ccccc2s1,c1ccc(-c2nc3ccccc3s2)cc1,c1ccc(-c2nc3ccccc3s2)cc1,True,False
Fc1ccc2nc(-c3ccccc3OCc3ccccc3)sc2c1,c1ccc(COc2ccccc2-c2nc3ccccc3s2)cc1,c1ccc(COc2ccccc2-c2nc3ccccc3s2)cc1,True,False
O=c1[nH]c(=O)n(C2CCCO2)cc1F,O=c1ccn(C2CCCO2)c(=O)[nH]1,O=c1ccn(C2CCCO2)c(=O)[nH]1,True,False
Cc1c(C)c(N(C)C)c(C)c(C)c1N(C)C,c1ccccc1,c1ccccc1,False,True
CC(Cc1ccccc1)NC(C#N)c1ccccc1,c1ccc(CCNCc2ccccc2)cc1,c1ccc(CCNCc2ccccc2)cc1,True,False
POS,,acyclic_106,True,False
Cc1[nH]c2ccccc2c1N=Nc1nncs1,c1ccc2c(N=Nc3nncs3)c[nH]c2c1,c1ccc2c(N=Nc3nncs3)c[nH]c2c1,False,True
Cc1c(N=Nc2nncs2)c2ccccc2n1C,c1ccc2c(N=Nc3nncs3)c[nH]c2c1,c1ccc2c(N=Nc3nncs3)c[nH]c2c1,False,True
c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,True,False
Cn1c(-c2ccccc2)c(N=Nc2nncs2)c2ccccc21,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,True,False
CSc1nnc(N=Nc2c(C)[nH]c3ccccc23)s1,c1ccc2c(N=Nc3nncs3)c[nH]c2c1,c1ccc2c(N=Nc3nncs3)c[nH]c2c1,False,True
CSc1nnc(N=Nc2c(C)n(C)c3ccccc23)s1,c1ccc2c(N=Nc3nncs3)c[nH]c2c1,c1ccc2c(N=Nc3nncs3)c[nH]c2c1,False,True
CSc1nnc(N=Nc2c(-c3ccccc3)[nH]c3ccccc23)s1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,True,False
CSc1nnc(N=Nc2c(-c3ccccc3)n(C)c3ccccc23)s1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,True,False
CN(C)C=O,,acyclic_115,True,False
CCc1nnc(N=Nc2c(C)n(C)c3ccccc23)s1,c1ccc2c(N=Nc3nncs3)c[nH]c2c1,c1ccc2c(N=Nc3nncs3)c[nH]c2c1,False,True
CCc1nnc(N=Nc2c(-c3ccccc3)[nH]c3ccccc23)s1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,True,False
CCc1nnc(N=Nc2c(-c3ccccc3)n(C)c3ccccc23)s1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,True,False
Cc1[nH]c2ccccc2c1N=Nc1n[nH]c(S)n1,c1ccc2c(N=Nc3nc[nH]n3)c[nH]c2c1,c1ccc2c(N=Nc3nc[nH]n3)c[nH]c2c1,True,False
Cc1c(N=Nc2n[nH]c(S)n2)c2ccccc2n1C,c1ccc2c(N=Nc3nc[nH]n3)c[nH]c2c1,c1ccc2c(N=Nc3nc[nH]n3)c[nH]c2c1,True,False
Sc1nc(N=Nc2c(-c3ccccc3)[nH]c3ccccc23)n[nH]1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nc[nH]n2)cc1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nc[nH]n2)cc1,False,True
Cn1c(-c2ccccc2)c(N=Nc2n[nH]c(S)n2)c2ccccc21,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nc[nH]n2)cc1,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nc[nH]n2)cc1,False,True
N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2)cc1,c1ccc(OCCOCCOc2ccccc2)cc1,c1ccc(OCCOCCOc2ccccc2)cc1,True,False
O=C(c1ccccc1)c1cccc(O)c1O,O=C(c1ccccc1)c1ccccc1,O=C(c1ccccc1)c1ccccc1,True,False
COC(=O)C1=C(C)NC2=C(C(=O)C(C)(C)CC2)C1c1ccccc1Cl,O=C1CCCC2=C1C(c1ccccc1)C=CN2,O=C1CCCC2=C1C(c1ccccc1)C=CN2,True,False
COC(=O)C1=C(C)NC2=C(C(=O)C(C)(C)CC2)C1c1cccc(Cl)c1,O=C1CCCC2=C1C(c1ccccc1)C=CN2,O=C1CCCC2=C1C(c1ccccc1)C=CN2,True,False
COC(=O)C1=C(C)NC2=C(C(=O)C(C)(C)CC2)C1c1cccc(Cl)c1Cl,O=C1CCCC2=C1C(c1ccccc1)C=CN2,O=C1CCCC2=C1C(c1ccccc1)C=CN2,True,False
c1ccc2c(c1)CCN2,c1ccc2c(c1)CCN2,c1ccc2c(c1)CCN2,True,False
O=C(O)C=Cc1ccccc1,c1ccccc1,c1ccccc1,False,True
O=C(O)c1cc(O)c(O)c(O)c1,c1ccccc1,c1ccccc1,False,True
COc1cc(C(=O)O)ccc1O,c1ccccc1,c1ccccc1,False,True
O=C(O)C=Cc1ccc(O)cc1,c1ccccc1,c1ccccc1,False,True
COc1cc(C=CC(=O)O)ccc1O,c1ccccc1,c1ccccc1,False,True
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,O=c1cc(-c2ccccc2)oc2ccccc12,O=c1cc(-c2ccccc2)oc2ccccc12,True,False
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,O=c1cc(-c2ccccc2)oc2ccccc12,O=c1cc(-c2ccccc2)oc2ccccc12,True,False
OCCc1ccc(O)cc1,c1ccccc1,c1ccccc1,False,True
O=C(O)COc1cc2cc(-c3ncc(C(=O)O)o3)oc2cc1N(CC(=O)O)CC(=O)O,c1ccc2oc(-c3ncco3)cc2c1,c1ccc2oc(-c3ncco3)cc2c1,True,False
CNc1ccccc1,c1ccccc1,c1ccccc1,False,True
